model,se_type,term,estimate,std_error,statistic,p_value,pr,conf_low,conf_high
M1,Clustered_HC1_municipality,year2020,-0.021717373491330915,0.03630068107208388,-0.5982635270177371,0.5496641090383891,0.9785167507469744,0.9113149628372224,1.0506741033982592
M1,Clustered_HC1_municipality,year2021,-0.030689042795646198,0.04424626204830996,-0.6935962807917783,0.4879354268048437,0.9697770853661989,0.8892190117276219,1.0576332522110266
M1,Clustered_HC1_municipality,year2022,0.016373367873602687,0.03673539230971397,0.4457109845339276,0.655806028895328,1.0165081460474699,0.9458909408843684,1.0923974068456375
M1,Clustered_HC1_municipality,year2023,-0.15354936044135878,0.041550510727503376,-3.695486716116835,2.194659554667388e-4,0.8576584287554099,0.7905800507669918,0.9304282086318366
M2,Clustered_HC1_municipality,(Intercept),-1.1680757584066772,0.041619637074974736,-28.06549601339565,2.584649774384066e-173,0.3109647372105161,0.28660502027700663,0.3373948847614208
M2,Clustered_HC1_municipality,raceBlack,0.10854379053299795,0.0530508280084234,2.04603386238879,0.040753039180026804,1.1146537187500731,1.0045745993141988,1.2367950708404956
M2,Clustered_HC1_municipality,raceBrown,0.0685650851571865,0.031514159080896255,2.175691408461232,0.029578343062019664,1.0709703269547437,1.0068204876617992,1.1392074905837948
M2,Clustered_HC1_municipality,raceYellow,0.3148915669838383,0.15197641529736766,2.071976539041926,0.03826762917511601,1.3701107376622568,1.0171634205539861,1.8455278626073837
M2,Clustered_HC1_municipality,raceIndigenous,0.43773488507585956,0.07595727810722007,5.762909045502658,8.267635548888956e-9,1.5491941384849242,1.334902986583332,1.797885316639244
M2,Clustered_HC1_municipality,regionSouth,-0.12316286811985906,0.05180136884869139,-2.377598717122905,0.017425777936560524,0.884119655928003,0.7987609607040972,0.9786001124907516
M2,Clustered_HC1_municipality,regionNortheast,0.04748828642564046,0.04067950506004104,1.1673762096060407,0.24305847430376332,1.0486339177979724,0.9682707373245276,1.1356669691317642
M2,Clustered_HC1_municipality,regionNorth,0.33390993776049427,0.05152154887655798,6.480976310718435,9.113098113436095e-11,1.3964173734350838,1.262290214922813,1.5447964800634826
M2,Clustered_HC1_municipality,regionCentral-West,0.11803113013308981,0.05248085481777646,2.2490321574013308,0.024510450218368104,1.1252791409115221,1.0152842826331534,1.247190729365502
M2,Clustered_HC1_municipality,age_group<20,0.2579705666588893,0.03441715590369643,7.495406284607702,6.609331399893977e-14,1.2943007224689276,1.2098700305702703,1.3846234040477707
M2,Clustered_HC1_municipality,age_group>=35,-0.12385644933107978,0.03414443963445204,-3.627426622228339,2.862600908727234e-4,0.8835066597520692,0.8263147283176226,0.9446570308815966
M2,Clustered_HC1_municipality,year2020,-0.016475676137774793,0.03600137557570785,-0.4576401838626371,0.6472109688001291,0.983659305493107,0.916641921330517,1.0555764544116846
M2,Clustered_HC1_municipality,year2021,-0.02335346294296813,0.04455310584098093,-0.5241713793494301,0.6001593455246175,0.9769171187401764,0.8952273681085119,1.0660610822299255
M2,Clustered_HC1_municipality,year2022,0.03439119532814867,0.036688851763140844,0.9373745341002877,0.3485659355730746,1.0349894105663673,0.9631761613839346,1.1121569687162562
M2,Clustered_HC1_municipality,year2023,-0.1373382828432903,0.04138093212280108,-3.3188784253512815,9.037976888985034e-4,0.8716753034512029,0.8037677579483288,0.9453201215562974
M2,Clustered_HC1_municipality,education<=7 years,0.23021062746150098,0.03099715673613526,7.426830448391756,1.1123079075613885e-13,1.2588651335747945,1.1846604580751472,1.3377178361344102
M2,Clustered_HC1_municipality,education>=12 years,-0.2877363456728196,0.0485251457734401,-5.929633823589873,3.036109829044611e-9,0.7499592961887944,0.6819181579204829,0.8247895138254653
