model,se_type,term,estimate,std_error,statistic,p_value,pr,conf_low,conf_high
M2,HC1,raceYellow,0.3148915669838383,0.15516469787976553,2.0294021210149387,0.04241734926190408,1.3701107376622568,1.0108269509230472,1.8570967382134254
M2,HC1,raceIndigenous,0.43773488507585956,0.07507210779271876,5.830859129258595,5.51427230667196e-9,1.5491941384849242,1.3372209651046347,1.794768808854452
M2,HC1,regionSouth,-0.12316286811985906,0.04896738572895222,-2.5152020326671916,0.011896418979000942,0.884119655928003,0.8032101090553365,0.9731794423224795
M2,HC1,regionNortheast,0.04748828642564046,0.03388117040543433,1.4016129271031215,0.1610308646210581,1.0486339177979724,0.9812590298146211,1.1206348784011364
M2,HC1,regionNorth,0.33390993776049427,0.038932168553130204,8.576710472852595,9.762494696500262e-18,1.3964173734350838,1.2938249224100655,1.507144782154158
M2,HC1,regionCentral-West,0.11803113013308981,0.0511620343850898,2.307006192222249,0.0210544749070396,1.1252791409115221,1.0179120736503535,1.243971044011335
M2,HC1,age_group<20,0.2579705666588893,0.031551718121117324,8.176117879496127,2.931352239918369e-16,1.2943007224689276,1.2166840897199214,1.3768687980207084
M2,HC1,age_group>=35,-0.12385644933107978,0.03734364278092414,-3.3166675800130583,9.109793597434615e-4,0.8835066597520692,0.8211495836909133,0.9505990544593349
M2,HC1,year2020,-0.016475676137774793,0.038708153379944286,-0.42563839137599563,0.6703713609659752,0.983659305493107,0.9117917522959958,1.0611914692655315
M2,HC1,year2021,-0.02335346294296813,0.039272391982080865,-0.594653438823482,0.5520751513276508,0.9769171187401764,0.9045412668715321,1.0550840429739645
M2,HC1,year2022,0.03439119532814867,0.038445307493733455,0.8945485826522365,0.3710284481769417,1.0349894105663673,0.959865981029861,1.1159923376336345
M2,HC1,year2023,-0.1373382828432903,0.04075588481519736,-3.369777971108569,7.522877250574314e-4,0.8716753034512029,0.8047530513941791,0.9441627258578452
M2,HC1,education<=7 years,0.23021062746150098,0.03051144574733686,7.545057988004207,4.520862961239939e-14,1.2588651335747945,1.1857887841703716,1.336444943387652
M2,HC1,education>=12 years,-0.2877363456728196,0.04378794756670747,-6.571131136815126,4.9934456295762754e-11,0.7499592961887944,0.6882791907164564,0.8171668612478717
M2,HC3,(Intercept),-1.1680757584066772,0.03990611158441379,-29.270598212402508,2.4559138815275907e-188,0.3109647372105161,0.2875692042971411,0.3362636413893874
M2,HC3,raceBlack,0.10854379053299795,0.051532816697616404,2.106304244340258,0.035177932874446476,1.1146537187500731,1.007567963171422,1.2331207006747424
M2,HC3,raceBrown,0.0685650851571865,0.03450573342717539,1.9870635499428995,0.046915354881851126,1.0709703269547437,1.000934283811392,1.1459068390085017
M2,HC3,raceYellow,0.3148915669838383,0.15823100070685114,1.9900750521525585,0.0465826685374307,1.3701107376622568,1.0047701466966625,1.8682914093626388
M2,HC3,raceIndigenous,0.43773488507585956,0.07568283829293788,5.783806407756056,7.302898161940441e-9,1.5491941384849242,1.3356212267717804,1.7969184905191222
M2,HC3,regionSouth,-0.12316286811985906,0.04900682163855342,-2.513178043420948,0.011964893347940946,0.884119655928003,0.8031480278249797,0.9732546665340124
M2,HC3,regionNortheast,0.04748828642564046,0.03390138882342427,1.4007770204631935,0.16128076239506003,1.0486339177979724,0.9812201451548552,1.1206792879112586
M2,HC3,regionNorth,0.33390993776049427,0.03897795900715,8.566634740911981,1.0655320041840392e-17,1.3964173734350838,1.2937088077527337,1.507280053398259
M2,HC3,regionCentral-West,0.11803113013308981,0.05124455501399655,2.3032911516326307,0.02126246715532138,1.1252791409115221,1.0177474494247098,1.2441722606982046
M2,HC3,age_group<20,0.2579705666588893,0.031591788123639115,8.165747555956107,3.194506996427901e-16,1.2943007224689276,1.2165885385044284,1.376976937694116
M2,HC3,age_group>=35,-0.12385644933107978,0.037372418345580805,-3.3141138522475493,9.193406520863496e-4,0.8835066597520692,0.8211032720727566,0.9506526698594039
M2,HC3,year2020,-0.016475676137774793,0.03873846066914508,-0.42530539038422754,0.670614064566246,0.983659305493107,0.9117375913894503,1.0612545083378881
M2,HC3,year2021,-0.02335346294296813,0.039302507020276,-0.5941977933092201,0.5523798285294617,0.9769171187401764,0.9044878774694053,1.055146321648617
M2,HC3,year2022,0.03439119532814867,0.038477335147037335,0.893803980881891,0.3714267788791347,1.0349894105663673,0.9598057281015225,1.1160623953592521
M2,HC3,year2023,-0.1373382828432903,0.040784035649676954,-3.3674520104627788,7.58662290453185e-4,0.8716753034512029,0.8047086498580363,0.9442148220735431
M2,HC3,education<=7 years,0.23021062746150098,0.03054934250665893,7.5356982694904575,4.857285485879924e-14,1.2588651335747945,1.1857007098391548,1.3365442150618785
M2,HC3,education>=12 years,-0.2877363456728196,0.04381445472005432,-6.567155691227164,5.128541769291141e-11,0.7499592961887944,0.6882434327741235,0.8172093174546575
